trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,space,4.91674494743,,,2016_Jan_10_1217,60.0983225559,test,001,,
,,,,,,t,1.34966897964,2016_Jan_10_1217,60.0983225559,test,001,,
0,0,0,0,,,,,2016_Jan_10_1217,60.0983225559,test,001,,
1,0,1,0,,,,,2016_Jan_10_1217,60.0983225559,test,001,,
2,0,2,0,,,,,2016_Jan_10_1217,60.0983225559,test,001,,
3,0,3,0,,,,,2016_Jan_10_1217,60.0983225559,test,001,,
