trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,space,3.17248892784,,,2016_Oct_24_1550,59.8651775201,test,001,,
,,,,,,space,0.65102481842,2016_Oct_24_1550,59.8651775201,test,001,,
0,0,0,0,,,,,2016_Oct_24_1550,59.8651775201,test,001,,
1,0,1,0,,,,,2016_Oct_24_1550,59.8651775201,test,001,,
2,0,2,0,,,,,2016_Oct_24_1550,59.8651775201,test,001,,
3,0,3,0,,,,,2016_Oct_24_1550,59.8651775201,test,001,,
